Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,55350,3.214.17.10,443,18,4574,10,2571,8,2003,1153.470252128,64.1162827619999,320.792146923872,249.920914153449
10.61.81.49,58566,35.224.99.156,80,11,1066,6,491,5,575,1202.417117945,0.628177049999977,6253.01417808904,7322.77627780285
10.61.81.49,34766,172.217.166.195,443,17,6070,10,1257,7,4813,1219.614795178,13.0882913140001,768.320306963479,2941.8660599962
10.61.81.49,34768,172.217.166.195,443,27,9951,12,1992,15,7959,1219.841122,92.5799348420001,172.132331127656,687.751618195289
10.61.81.49,42358,172.217.167.210,443,31,7294,14,2095,17,5199,1232.826027016,91.9468836340002,182.279152240919,452.348120525317
10.61.81.49,57922,172.217.167.18,443,31,7293,15,2161,16,5132,1233.105996795,91.60640236,188.720433884748,448.178281673543
10.61.81.49,56698,216.58.221.35,443,32,8085,16,2259,16,5826,1262.871290068,45.4604156150001,397.532661228838,1025.24359642285
10.61.81.49,55364,3.214.17.10,443,28,10616,14,3084,14,7532,1335.487575488,1.877743904,13139.1719325747,32089.5729559509
10.61.84.226,55365,10.61.81.49,31461,6,356,3,194,3,162,389.37319901,1.55528975800002,997.884794146497,833.285240472848
10.61.84.226,59352,10.61.81.49,445,6,356,3,194,3,162,390.950628894,1.16213396700005,1335.47426034398,1115.18984626662
10.61.90.172,56780,10.61.81.49,31461,4,240,2,132,2,108,1015.186534973,1.87850421999997,562.149389262494,459.940409396586
10.61.90.172,59770,10.61.81.49,445,6,356,3,194,3,162,1019.044940672,1.25044900099999,1241.15417642691,1036.42771433587
