Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,45957,172.217.161.3,443,19,9242,10,6424,9,2818,1215.367095906,5.13247047200002,10013.1116740694,4392.42663411078
10.61.81.49,38842,192.168.108.121,53,2,186,1,85,1,101,1215.368782436,0.26768311800015,2540.31709238989,3018.49442742798
10.61.81.49,51883,172.217.167.3,443,7,4467,4,2935,3,1532,1215.476178689,0.269124633999809,87245.8223204372,45540.2384309744
10.61.81.49,45374,192.168.108.121,53,2,237,1,96,1,141,1215.477425088,0.160163888999932,4795.08836102453,7042.78603025478
10.61.81.49,34279,192.168.108.121,53,2,244,1,101,1,143,1215.477691294,0.161547827000049,5001.61478495005,7081.49420047383
10.61.81.49,45473,216.58.200.164,443,33,14259,15,7589,18,6670,1215.639163313,4.51920705500015,13434.2151756085,11807.3811070376
10.61.81.49,39985,192.168.108.121,53,2,180,1,82,1,98,1215.639820089,0.043622122999977,15038.2410319723,17972.53196504
10.61.81.49,33825,172.217.166.1,443,6,3075,3,1543,3,1532,1215.641253414,0.214119940000046,57649.9320894511,57238.9474796106
10.61.81.49,42909,172.217.27.162,443,6,3075,3,1543,3,1532,1215.643202933,0.212173384999915,58178.8333159928,57764.0781854187
10.61.81.49,53743,172.217.161.14,443,6,3075,3,1543,3,1532,1215.687992725,0.167388683000127,73744.5314626836,73218.8089441551
10.61.81.49,53063,180.149.59.78,443,10675,13017092,1364,112707,9311,12904385,1215.795076439,71.887807267,12542.5441987838,1436058.26808116
10.61.81.49,45674,172.217.167.3,443,6,3075,3,1543,3,1532,1215.817829896,0.158149086000094,78052.9329141533,77496.4959329118
10.61.81.49,50089,192.168.108.121,53,1,136,1,136,0,0,1217.586950637,0,0,0
10.61.81.49,43472,192.168.108.121,53,2,220,1,90,1,130,1217.630260517,0.539306744000214,1335.04727691615,1928.40162221221
10.61.81.49,43040,216.58.200.174,443,18,11384,10,5052,8,6332,1218.170994889,4.42831084399995,9126.73058052391,11439.1247101895
10.61.81.49,52974,192.168.108.122,53,2,288,1,136,1,152,1218.461229074,1.15318368400017,943.4750205847,1054.47208182996
10.61.81.49,50248,192.168.108.122,53,2,228,1,91,1,137,1232.524338197,0.096995109000091,7505.53308826449,11299.5388251894
10.61.81.49,34798,172.217.160.227,443,11,5056,5,2415,6,2641,1232.626201876,0.277660047999916,69581.4905283235,76093.050304473
10.61.81.49,59062,192.168.108.122,53,2,302,1,143,1,159,1232.704274843,0.120847846000061,9466.4492406379,10525.6323724575
